Date/Time,Z1:Zone Air Temperature [C](Hourly),Z2:Zone Air Temperature [C](Hourly),Z3:Zone Air Temperature [C](Hourly),Z4:Zone Air Temperature [C](Hourly),Z1 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z2 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z3 RADIATOR:Baseboard Total Heating Rate [W](Hourly),Z4 RADIATOR:Baseboard Total Heating Rate [W](Hourly),HEAT PUMP:Heat Pump Load Side Heat Transfer Rate [W](Hourly),HEAT PUMP:Heat Pump Electricity Rate [W](Hourly),SUPPLY PUMP:Pump Electricity Rate [W](Hourly) 
 01/15  07:00:00,21.00030242352128,21.00030242352128,21.00030242352128,21.00030242352128,444.31310926564674,444.31310926564674,444.31310926564674,444.31310926564674,1769.380371644639,505.5372490413254,8.547008547008547 
 01/15  08:00:00,21.000302423519276,21.000302423519276,21.000302423519276,21.000302423519276,444.3131092656735,444.3131092656735,444.3131092656735,444.3131092656735,1769.38037164474,505.5372490413543,8.547008547008547 
 01/15  09:00:00,21.000302423517518,21.000302423517518,21.000302423517518,21.000302423517518,444.3131092656972,444.3131092656972,444.3131092656972,444.3131092656972,1769.380371644835,505.5372490413815,8.547008547008547 
 01/15  10:00:00,21.00030242351598,21.00030242351598,21.00030242351598,21.00030242351598,444.31310926572104,444.31310926572104,444.31310926572104,444.31310926572104,1769.3803716449363,505.5372490414103,8.547008547008547 
 01/15  11:00:00,21.000302423514622,21.000302423514622,21.000302423514622,21.000302423514622,444.3131092657366,444.3131092657366,444.3131092657366,444.3131092657366,1769.3803716450075,505.5372490414307,8.547008547008547 
 01/15  12:00:00,21.000302423513403,21.000302423513403,21.000302423513403,21.000302423513403,444.31310926575225,444.31310926575225,444.31310926575225,444.31310926575225,1769.3803716450639,505.53724904144684,8.547008547008547 
 01/15  13:00:00,21.000302423512355,21.000302423512355,21.000302423512355,21.000302423512355,444.3131092657678,444.3131092657678,444.3131092657678,444.3131092657678,1769.3803716451293,505.53724904146554,8.547008547008547 
 01/15  14:00:00,21.000302423511418,21.000302423511418,21.000302423511418,21.000302423511418,444.31310926577896,444.31310926577896,444.31310926577896,444.31310926577896,1769.3803716451769,505.5372490414791,8.547008547008547 
 01/15  15:00:00,21.000302423510593,21.000302423510593,21.000302423510593,21.000302423510593,444.31310926579005,444.31310926579005,444.31310926579005,444.31310926579005,1769.3803716452303,505.53724904149436,8.547008547008547 
 01/15  16:00:00,21.00030242350988,21.00030242350988,21.00030242350988,21.00030242350988,444.31310926580124,444.31310926580124,444.31310926580124,444.31310926580124,1769.3803716452599,505.5372490415029,8.547008547008547 
 01/15  17:00:00,21.00030242350925,21.00030242350925,21.00030242350925,21.00030242350925,444.3131092658109,444.3131092658109,444.3131092658109,444.3131092658109,1769.3803716453046,505.53724904151557,8.547008547008547 
 01/15  18:00:00,21.000302423508693,21.000302423508693,21.000302423508693,21.000302423508693,444.31310926581756,444.31310926581756,444.31310926581756,444.31310926581756,1769.3803716453344,505.5372490415241,8.547008547008547 
 01/15  19:00:00,21.00030242350819,21.00030242350819,21.00030242350819,21.00030242350819,444.31310926582205,444.31310926582205,444.31310926582205,444.31310926582205,1769.3803716453522,505.5372490415292,8.547008547008547 
 01/15  20:00:00,21.00030242350777,21.00030242350777,21.00030242350777,21.00030242350777,444.313109265831,444.313109265831,444.313109265831,444.313109265831,1769.3803716453906,505.5372490415402,8.547008547008547 
 01/15  21:00:00,21.000302423507385,21.000302423507385,21.000302423507385,21.000302423507385,444.31310926583546,444.31310926583546,444.31310926583546,444.31310926583546,1769.3803716454083,505.5372490415453,8.547008547008547 
 01/15  22:00:00,21.000302423507062,21.000302423507062,21.000302423507062,21.000302423507062,444.3131092658399,444.3131092658399,444.3131092658399,444.3131092658399,1769.3803716454233,505.5372490415495,8.547008547008547 
 01/15  23:00:00,21.00030242350675,21.00030242350675,21.00030242350675,21.00030242350675,444.3131092658421,444.3131092658421,444.3131092658421,444.3131092658421,1769.3803716454295,505.5372490415512,8.547008547008547 
 01/15  24:00:00,21.00030242350651,21.00030242350651,21.00030242350651,21.00030242350651,444.3131092658488,444.3131092658488,444.3131092658488,444.3131092658488,1769.3803716454681,505.53724904156235,8.547008547008547 
